genes,anterior orbital gyrus,anterior orbital gyrus,anterior orbital gyrus,anterior orbital gyrus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,gyrus rectus,"inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, orbital part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part",lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,lateral orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,medial orbital gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,posterior orbital gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior frontal gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,superior rostral gyrus,long insular gyri,long insular gyri,long insular gyri,long insular gyri,long insular gyri,long insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,short insular gyri,"cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part","cingulate gyrus, frontal part",CA1 field,CA1 field,CA1 field,CA1 field,CA1 field,CA1 field,CA2 field,CA2 field,CA2 field,CA2 field,CA2 field,CA2 field,CA3 field,CA3 field,CA3 field,CA3 field,CA3 field,CA3 field,CA4 field,CA4 field,CA4 field,CA4 field,CA4 field,CA4 field,subiculum,subiculum,subiculum,subiculum,subiculum,subiculum,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,amygdalohippocampal transition zone,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basolateral nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,basomedial nucleus,central nucleus,central nucleus,central nucleus,central nucleus,central nucleus,central nucleus,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,cortico-medial group,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,lateral nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,body of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,head of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,tail of the caudate nucleus,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,nucleus accumbens,putamen,putamen,putamen,putamen,putamen,putamen,habenular nuclei,habenular nuclei,habenular nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,midbrain raphe nuclei,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,pontine raphe nucleus,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla,raphe nuclei of medulla
HTR1D,-0.1484,-0.7974,-0.3775,0.1214,-0.2598,-11.754,-12.032,-0.5401,-0.1155,-0.4515,-0.4187,-13.447,0.0694,-0.4989,-0.3968,-0.9044,-0.5696,-10.628,-0.9701,-0.5788,-0.3056,-0.2157,-0.4326,-15.669,-15.950,-0.1477,-0.4516,-0.4290,-0.5116,-14.013,-0.4592,-0.6736,-0.1181,-0.3234,-0.3805,-13.160,-0.4310,-10.293,-0.2973,-0.1447,-0.7943,-17.140,0.3284,-0.1671,-0.1476,-0.1384,-13.105,-0.3721,-0.4618,-0.1892,-0.0822,-0.0949,-14.846,0.0483,-0.3523,-0.1506,-0.1855,-14.261,0.3757,-0.2283,-0.2122,-0.6183,-0.2733,-12.499,-0.8145,-0.3681,-0.3453,-0.8654,-0.4747,-0.4999,-0.4301,-0.3940,-0.0124,-0.3634,-0.1290,-0.2672,-0.1290,0.2644,0.1287,0.3476,-0.1811,0.1671,0.1454,-0.0444,-0.2897,0.0318,-0.2059,0.4654,0.1727,-0.2657,-0.2241,-0.1626,-0.3597,-0.5603,-0.2450,-0.1645,-0.1333,0.0171,-0.5588,-0.2367,-0.3757,-0.4471,0.1420,0.0479,0.4694,0.3662,-12.197,12.927,0.1008,-0.4186,-0.2879,10.338,0.7430,22.243,-0.0165,0.0998,-0.2873,-0.0129,0.4874,0.6478,-0.5409,12.454,-0.4768,0.5069,0.5243,13.440,-0.0321,-0.3751,0.2996,-0.1360,0.3777,17.839,-0.0165,-0.5326,-0.4187,-0.4796,-10.184,16.844,0.0775,0.2106,-0.1297,-0.0295,-0.3295,-0.8349,-0.4417,32.004,0.4376,-0.6816,0.2473,0.0418,-0.3027,0.3025,21.420,0.5250,-0.1272,0.5687,0.9066,0.8501,16.739,0.4128,0.7377,23.741,0.1200,16.121,0.0939,-11.382,46.285,0.7227,41.182,0.1923,-0.7554,11.179,0.0463,14.008,0.4136,52.351,0.1457,0.4870,-0.4004,-0.7498,-0.7215,0.1429,0.3847,-0.2144,11.142,-0.2807,0.2349,0.3914,12.257
HTR1D,-0.0827,-0.8636,-0.4969,0.8124,-0.2048,-0.7507,-0.8021,-0.4805,-0.0508,0.1789,-0.4134,-0.7580,0.5460,-0.4555,-0.7041,-0.8586,-0.8377,-0.4274,-0.6846,-0.2980,-0.4377,-0.0102,-0.3773,-10.353,-15.832,-0.1309,-0.6259,-0.3278,-0.5249,-0.7503,-0.2082,-0.7244,0.0638,-0.3346,-0.4136,-0.6920,-0.1362,51.570,-0.3214,0.7511,-15.836,-0.9443,0.3855,-0.2448,0.0347,-0.3849,-0.8855,0.1724,-0.2385,-0.2098,0.0462,0.2710,-0.8827,0.3511,-0.3798,0.3460,-0.2248,-0.8775,0.2076,-0.3967,-0.2122,-0.2195,-0.1815,-0.7768,-0.6626,-0.2467,-0.7612,-0.8332,-0.8229,0.0725,-0.3908,-0.4620,-0.1033,-0.4011,-0.4578,-0.2946,-0.3086,0.5965,0.2371,0.8409,-0.6175,0.1357,-0.1751,0.0909,-0.4847,0.5706,-0.4948,0.0298,0.1106,-0.3173,0.1125,0.3592,-0.7220,-0.6262,-0.2620,-0.1303,0.1613,-0.0604,-12.100,-0.5375,-0.5310,-0.5275,0.4766,-0.0458,13.620,-0.4768,51.326,16.478,0.3235,-0.9394,-0.4167,0.7624,0.5035,24.060,0.0959,-0.0738,-0.0660,-0.1348,0.3416,13.880,-13.717,17.493,-0.8580,16.450,-0.7030,20.818,0.5603,-0.3923,0.3934,-0.5722,-0.0892,19.163,0.1780,-0.4954,-0.9958,-0.3729,-0.9266,17.463,0.3121,0.2212,-0.6114,-0.0089,-0.5033,-10.021,-0.8042,34.104,0.1721,-0.5241,-0.4194,0.0468,-0.6165,0.3639,19.739,0.4707,-0.1913,-0.1698,13.391,22.647,-0.1801,-0.6956,-0.1220,17.889,-0.1861,0.4353,-0.3017,-0.6939,-0.1673,0.1369,-0.3596,-0.1175,-16.963,0.9835,-14.820,-0.3332,0.0108,0.2807,0.3520,0.7650,-0.7671,-0.8143,-10.725,0.1637,0.5914,-0.3984,-0.0360,0.3335,-0.2982,25.037,12.406
HTR1D,10.144,-0.5017,-0.2802,0.2642,0.3085,-0.6067,-0.6976,-0.0534,-0.0818,-0.1887,-0.7714,-0.7305,0.9709,-0.3854,-0.7095,-0.4771,-0.9558,-0.6655,-0.8828,0.1542,-0.4143,-0.1298,-0.1438,-0.8878,-10.841,-0.2921,-0.4592,-0.2682,-0.7987,-0.5831,-0.0831,-0.1538,0.0287,-0.3159,-0.0548,-0.5909,0.1503,-0.3349,-0.2441,-0.1432,-12.196,-0.8419,-0.2463,-0.1677,-0.2094,0.3081,-0.5465,0.2801,-0.1945,-0.1983,-0.1265,-0.2322,-0.6724,-0.3750,-0.3255,-0.0081,-0.0544,-0.7894,-0.0728,-0.1332,0.5943,-0.2938,-0.3098,-0.6263,-0.4459,-0.3393,23.607,-0.4651,-0.4508,-0.4570,-0.4730,-0.2546,-0.1381,-0.3124,-0.5681,17.566,-0.5709,0.0424,-0.1717,-0.0538,-0.7405,0.9274,-0.7961,-0.2332,11.596,-0.1442,0.5262,0.9585,-10.588,-0.3836,0.0069,-0.1604,-0.2688,0.3873,-0.1549,-0.4480,0.0791,-0.3386,-10.632,0.7188,-10.588,0.3176,0.0916,-0.3521,0.5663,13.538,-10.038,0.3507,-0.0432,14.354,-0.5278,21.568,-0.5774,0.5662,-0.4467,-0.3446,0.3051,-0.4366,-0.1751,0.0577,-10.544,0.4519,0.8512,-0.0196,18.506,31.036,34.903,39.426,-0.2358,0.9283,-0.7287,0.2649,-0.1287,0.4601,-0.9540,14.722,-0.5826,0.3022,-0.5718,-0.2379,15.868,0.0926,28.799,-0.0618,13.606,27.207,31.040,19.097,0.5383,-0.1814,37.371,19.344,69.307,18.794,0.0741,20.904,36.658,17.934,27.900,0.4842,46.222,26.013,35.333,16.329,16.834,-0.0913,28.167,10.582,14.282,14.960,-12.248,0.7592,-0.6152,22.535,10.229,31.476,36.834,0.2682,-11.233,-0.9399,-0.5947,-0.5214,0.0017,-0.0966,14.888,25.098,0.4053,0.4182,26.578
HTR1D,-0.8211,-0.6522,-0.6250,-0.4257,-0.5270,-0.6117,-0.3532,-0.3779,-0.4348,-0.5877,-0.4599,-0.7373,0.6610,-0.6418,-0.5271,-0.2763,-0.7962,-0.2706,-0.6850,-0.6457,0.6201,-0.3880,-0.8144,-0.6166,0.0143,-0.6337,-0.6037,-0.5060,14.490,-0.2918,-0.2776,-0.0562,-0.4814,-0.6005,-0.3627,-0.6043,-0.6536,-0.6067,-0.2246,-0.2693,-0.6028,-0.5496,-0.4045,0.0570,-0.4678,-0.5949,-0.0638,-0.5785,-0.5296,-0.4761,-0.2773,-0.7092,-0.7315,-0.4728,-0.4821,-0.5368,-0.2227,-0.7352,-0.3557,-0.5774,21.288,-0.3735,-0.2197,-0.5098,-0.4537,0.0124,-0.3013,-0.6032,-0.6870,-0.5845,-0.4309,-0.5034,-0.4100,-0.5131,-0.3260,0.6438,-0.0267,-0.3376,-0.4048,-0.3929,-0.6069,-0.1789,-0.1698,-0.5213,-0.6467,-0.3224,-0.3245,-0.0121,-0.4193,-0.5953,-0.6370,-0.5587,-0.5842,-0.4411,-0.6533,-0.4614,-0.5729,-0.4816,-0.2995,-0.4141,-0.4169,19.245,-0.3038,-0.4637,0.0983,15.398,-0.1579,0.7358,13.181,-0.0561,-0.4135,26.753,0.0960,0.2562,-0.2410,0.8447,-0.4618,23.120,-0.2552,-0.3264,0.2830,0.6612,0.7524,40.268,48.025,34.994,41.598,45.841,0.4195,14.152,21.094,0.1243,0.1890,20.222,0.5144,-0.3789,-0.4794,-0.0364,-0.1291,-0.2536,34.002,22.247,25.921,26.937,28.983,31.951,39.942,22.039,27.038,22.201,26.971,29.795,51.353,29.687,38.924,38.177,29.564,36.797,45.977,23.833,34.696,27.418,28.691,41.069,33.075,20.314,17.335,20.821,26.948,26.837,-0.8275,0.0146,0.6893,28.377,43.351,39.464,37.291,32.616,16.454,0.3515,29.955,0.5758,-0.1151,11.024,38.069,12.199,26.443,28.375,23.148
HTR1D,-0.6683,-0.8712,0.1798,-0.6651,-0.3919,-0.7590,-0.4598,-0.7656,-0.3095,-0.4233,-0.5744,-0.7335,-0.7288,-0.8048,0.1860,-0.5685,-0.6357,-0.0542,-0.4577,-0.7614,-0.7756,-0.4237,-0.5472,-0.8615,-0.3328,-0.5090,-0.0512,-0.8128,-0.3020,-0.5463,-0.5585,-0.8288,-0.5222,-0.8396,-0.6420,-0.7085,-0.5401,-0.8540,-0.2644,-0.5538,-0.0632,-0.6344,-0.3518,0.1206,-0.7419,-0.5175,-0.9279,-0.5831,-0.6713,-0.4941,-0.4020,-0.7877,-10.582,-0.4140,-0.1558,-0.7701,-0.3295,-0.9068,-0.5476,-0.6229,0.1798,-0.1001,-0.1569,-0.8556,0.2935,-0.7139,-0.3505,-0.9085,-0.4784,-0.8677,-0.2295,-0.6998,-0.4416,-0.4756,-0.3024,0.3843,-0.4812,-0.3520,-0.4974,-0.1409,-0.4730,-0.1524,-0.3783,-0.5824,0.1376,-0.6652,-0.3766,-0.1299,-0.3551,-0.4585,-0.8125,0.3980,-0.4677,-0.0520,20.136,-0.4108,-0.7028,0.0495,-0.5628,-0.5116,-0.6181,-0.3137,-0.2934,0.2607,0.3414,14.610,24.891,11.825,-0.5823,20.367,-0.4149,24.017,0.1362,0.3963,-0.2748,0.6342,-0.4550,24.306,-0.4933,-0.1896,10.451,17.517,21.133,38.917,32.901,31.984,35.066,39.789,0.4594,14.189,-0.2181,0.3266,20.080,21.482,-0.6620,-0.5660,-0.4142,0.0861,-0.0744,0.0810,30.018,23.173,16.778,25.376,23.732,27.315,36.043,15.970,23.002,19.960,23.500,26.489,41.988,26.704,29.546,35.063,29.424,32.256,38.983,27.662,23.829,25.398,30.361,35.684,29.987,18.559,11.050,20.668,24.162,27.076,-10.280,-0.0313,0.9679,37.099,36.640,38.442,33.889,30.229,29.589,-0.5190,27.135,0.2867,0.4852,26.452,34.948,23.054,29.211,26.325,25.293
HTR1D,-0.6528,-0.9574,-0.3464,-0.2280,-0.6010,-12.454,-13.885,-0.6445,-0.1208,-0.6899,-0.8326,-13.629,-0.3200,-0.7867,-0.7260,-0.8479,-10.645,-12.717,-13.391,-0.6514,-0.2413,-0.3627,-0.7741,-0.8829,-14.741,-0.4883,-11.026,-0.4707,-10.659,-0.5543,-0.7004,-0.8363,-0.2471,-0.5518,-0.6195,-10.042,-0.9170,-10.476,-0.5558,-0.2233,-11.146,-14.448,0.1653,-0.4127,-0.3409,-0.4562,-11.115,-0.7015,-0.5869,-0.3152,0.7549,-0.7893,-0.6309,-0.0197,-0.6769,-0.3934,-0.4404,-0.6556,-0.0107,-0.4662,-0.3259,-0.8016,-0.6081,-12.908,-0.2547,-0.6108,-0.6011,-0.9551,-0.8135,-0.9613,-0.3755,-0.5188,-0.1347,-0.4256,-0.1068,-0.2045,0.0154,0.1427,-0.0896,-0.0392,-0.3096,-0.2767,0.0733,-0.2583,0.4946,-0.2024,-0.2836,0.0664,-0.1465,-0.4110,-0.7045,-0.4180,-0.4495,-0.3890,34.397,-0.2434,-0.3855,-0.1338,-0.6690,-0.4716,-0.4193,-0.5260,0.4089,-0.1572,0.8416,11.856,-0.8465,0.7698,0.9005,-0.3694,-0.3029,21.970,11.463,15.000,0.1617,0.1298,-0.3303,25.859,0.1057,0.5814,-0.9781,0.6972,0.0157,29.933,41.686,10.778,23.466,58.858,0.4900,0.4710,0.0478,12.391,-0.2811,0.8472,-0.5673,-0.2013,-0.9300,10.594,0.4046,0.1315,22.927,20.797,0.2652,15.599,14.739,30.039,29.889,-0.4786,23.609,0.8955,30.745,17.257,39.315,20.767,13.471,48.544,35.896,36.883,51.761,24.946,10.158,0.9638,31.956,47.108,26.404,0.5071,18.367,0.5877,21.234,20.418,-10.579,11.390,-0.2592,29.419,38.983,59.507,39.945,24.453,34.110,-0.2547,21.258,0.3509,0.6557,25.748,29.424,-0.1148,26.901,15.203,20.733
HTR1D,-0.7116,0.3151,0.0808,0.0770,-0.0928,-10.369,-0.4980,0.4854,0.2201,0.4667,-10.400,-0.7553,-0.4010,0.0765,0.6889,-0.2135,0.0417,-0.9230,-0.6039,0.3623,0.3933,0.3094,0.2870,-10.276,0.4900,0.7297,0.6929,0.2249,-0.5413,-0.8893,-0.0346,0.7997,-0.1477,-0.0444,0.1403,-10.080,0.1576,-0.2269,0.0115,-0.3372,-12.242,10.460,-0.0880,-0.3706,0.0752,-0.0356,-0.8077,-0.6488,-0.3594,-0.1720,-0.1775,-0.4214,-0.6201,-0.7022,0.4375,0.5886,0.6733,-0.1390,-0.6931,-0.4907,0.3070,0.1851,0.7629,-0.7374,0.7237,0.0945,0.3043,0.5877,-0.5131,-0.6601,-0.4679,-0.1915,-0.1209,0.0995,0.3925,14.428,-0.2931,-0.1690,-0.8726,-0.6701,-0.6800,0.4557,0.5098,-0.2170,-11.637,-0.8381,-0.6372,0.1450,-0.2935,-0.3311,-11.405,0.1708,0.0069,0.6833,-0.7400,-0.4066,-0.1352,-0.8250,-0.6837,0.4300,-0.9279,0.0160,0.6481,-0.2577,0.0691,18.898,13.793,19.932,0.1630,0.9508,-0.1116,21.650,-0.3358,0.5646,0.7272,0.2119,-0.2321,19.196,0.0177,-0.2217,0.5954,10.722,10.558,30.750,35.798,30.089,28.413,38.133,-0.2911,16.212,0.6736,15.287,12.693,17.137,-0.7336,0.0144,0.8878,0.7355,0.5947,0.3076,31.621,25.573,27.230,21.560,25.679,29.226,40.289,23.517,29.623,21.603,30.478,31.479,37.508,34.896,34.492,28.607,29.286,29.212,47.033,26.208,37.071,27.908,30.057,37.517,31.962,22.593,23.679,17.316,26.313,27.556,-11.934,0.5637,-12.854,35.180,33.966,30.422,29.363,24.873,-0.7772,15.044,14.625,0.2110,-0.6050,21.503,26.962,0.8300,20.866,22.114,14.850
HTR1D,0.3131,10.097,0.0914,0.5228,-0.0889,-0.4806,0.5776,0.4475,0.3278,0.3954,-0.1621,-0.3978,-0.4554,0.1835,0.2429,-0.0518,0.5544,-0.9298,-0.0688,0.4579,0.4428,-0.3857,0.5127,-0.4397,0.4527,0.9085,0.4532,0.4423,0.3071,-0.4478,0.2418,0.8105,0.2717,0.2843,-0.0543,-0.1265,-0.2750,-0.1993,0.0826,-0.1904,0.9870,-0.3773,0.8074,0.3572,0.0236,0.1996,-0.5680,-0.5208,-0.2336,-0.1856,-0.2998,-11.357,-0.2091,11.262,0.1550,-0.0325,12.102,-0.1670,0.5389,-0.0381,0.4728,0.4025,0.4263,-0.7855,0.6687,0.6000,0.4181,0.3206,-0.4570,-0.5193,-0.0407,-0.3450,-0.0735,0.1101,-0.3904,0.7360,-0.1679,-0.4757,-0.7529,-0.7761,-0.6910,-0.6477,-0.3899,-11.455,-0.2554,-0.9342,-0.2213,-0.5818,-0.4534,0.2901,-11.130,-0.1606,-0.6002,-0.5357,-0.7400,-0.9482,-0.7840,-0.6109,-0.7754,-0.3475,-0.3551,-0.1642,-0.5978,-0.2794,-0.0569,18.211,0.8521,0.1724,0.5043,17.225,-0.4223,23.283,0.7429,-0.2806,0.0291,0.4303,-0.4954,21.241,-0.4909,-0.9320,10.842,0.5729,0.6897,33.310,37.174,22.689,28.849,35.053,0.0667,11.602,-0.2887,0.7446,12.209,17.466,-0.5328,-0.6349,-0.8673,-0.5850,0.3340,0.0796,24.318,28.453,26.539,23.351,25.143,30.073,35.910,24.424,36.705,23.441,27.402,32.194,38.721,28.051,33.797,31.170,26.126,31.055,45.382,34.037,35.980,23.864,30.348,36.104,32.417,25.837,22.416,17.759,25.910,28.827,-11.501,-0.0817,0.6170,35.914,34.015,25.378,27.637,28.444,0.8698,11.223,17.582,0.1608,-0.6556,24.579,24.715,0.1085,20.929,24.035,11.187
HTR1D,-0.1136,0.5802,0.1893,0.3407,0.2857,-0.3832,0.2347,0.7526,0.3913,0.1725,0.2471,-0.3571,-0.0012,0.3600,0.4043,-0.1190,0.3400,-11.451,0.0643,0.3368,0.2891,-0.1356,0.1602,-0.5099,0.2644,0.4254,0.5055,0.1652,0.4471,-0.3296,-0.0904,0.6811,0.3055,-0.0064,0.0365,-0.5102,-0.2067,-0.2055,0.1992,-0.1154,0.3469,-0.4235,0.4049,0.4817,-0.2272,0.1001,-0.5792,-0.2936,-0.2622,-0.0679,-0.3479,-10.366,-0.3423,0.6673,0.3351,0.5005,0.5818,0.0433,-0.1675,0.2439,0.4230,0.2395,0.3293,-0.1923,0.2848,0.4489,0.1523,-0.2065,0.2600,-0.6970,0.0830,0.0170,0.1270,-0.0222,-0.0383,11.514,0.4251,-0.4933,0.2531,0.0507,-0.4252,-0.1329,-0.6001,-10.672,-0.7664,-0.4367,0.2523,0.0587,0.3408,-0.6602,-0.8535,-0.0480,18.038,0.0063,19.396,0.1713,-0.5337,-0.0188,0.4952,0.5833,0.1108,0.4566,-0.0562,-0.0573,0.0511,16.493,-0.5077,0.4625,0.7297,11.418,-0.8079,19.084,-0.3518,-0.9374,0.6002,0.4542,-0.1589,17.917,13.632,-0.3243,0.9730,0.7838,0.2473,27.777,24.371,23.844,25.542,30.004,-0.4920,11.931,-0.2414,12.608,12.316,13.389,-0.2269,0.1812,11.808,-0.5005,0.6693,0.7160,17.942,24.734,17.120,23.219,22.836,23.850,26.502,22.399,28.890,24.063,25.631,26.482,26.913,26.185,19.197,28.560,23.664,25.107,31.538,26.193,28.277,23.821,26.650,29.316,23.492,22.436,19.099,17.206,22.715,23.205,-14.529,-0.0465,-0.4445,23.475,27.546,25.588,23.298,25.581,17.674,-0.2240,15.148,0.2585,0.2578,17.214,23.314,0.9764,18.870,19.525,10.140
HTR1D,-0.5752,0.4125,0.1459,0.0953,-0.2599,-0.6813,-0.0893,-0.4174,-0.1408,-0.1512,-0.4730,-0.5792,-0.6771,-0.5584,0.1453,-0.3434,-0.3782,-0.7040,-0.7945,0.2736,0.0805,-0.4127,-0.6525,-0.7174,-0.4088,0.2510,-0.0025,-0.4762,-0.6789,-0.6400,-0.2722,-0.1172,-0.4570,-0.4332,-0.2900,-0.5788,-0.5868,-0.6039,-0.2329,-0.3688,-0.6926,-0.7174,-0.5075,-0.6232,-0.4244,-0.3791,-0.6767,-0.2527,-0.6485,-0.3577,-0.3165,-0.5959,-0.3391,-0.5190,-0.2101,-0.4358,-0.3127,-0.5211,-0.7369,12.918,-0.2587,-0.3535,-0.5427,-0.6939,0.4099,-0.7693,-0.4063,-0.3833,-0.6027,-0.4697,-0.4045,-0.3565,-0.3881,-0.4347,0.9695,0.5317,-0.5954,-0.3944,-0.5339,0.0592,-0.4752,-0.4561,0.0024,-0.3274,15.254,-0.4256,-0.4550,-0.3594,-0.8343,-0.6771,-0.6377,-0.4723,-0.5209,-0.4197,22.265,-0.3718,-0.6441,-0.4395,-0.5682,-0.5420,-0.6568,-0.1372,0.7548,0.1025,0.1000,19.430,25.413,-0.2218,0.2647,21.306,-0.4279,28.513,-0.4496,0.1512,-0.4585,-0.4181,-0.4779,23.661,-0.7410,-0.3330,11.738,0.9991,0.3605,34.155,28.522,32.737,30.291,42.123,0.0938,0.8454,-0.7755,0.0238,18.046,29.588,-0.1848,-0.5816,0.4260,-0.0898,-0.1706,0.8213,31.926,26.968,19.959,28.531,26.871,34.457,43.418,21.308,21.316,26.906,29.275,31.965,44.141,30.015,26.339,38.847,31.502,36.067,50.279,30.202,24.868,29.319,31.916,41.115,33.121,21.864,15.440,25.150,27.982,32.503,-0.6757,0.0309,-0.4547,41.339,37.443,38.170,33.130,29.299,18.432,-0.4065,18.481,-0.3911,-0.2323,19.908,36.207,20.395,26.593,25.590,17.516
HTR2A,11.626,11.489,10.465,0.7891,11.688,11.350,10.018,10.012,11.549,0.8648,11.765,11.015,0.8749,10.884,10.328,11.629,10.200,0.9664,0.8560,10.679,10.474,0.9872,12.375,11.138,0.8307,0.9915,0.9571,0.9750,11.293,11.767,0.9775,10.541,11.506,10.336,11.580,10.995,0.9923,0.9983,10.278,10.127,10.115,10.740,13.008,10.452,0.9715,11.154,11.437,0.9896,0.9800,11.521,0.9916,11.766,11.960,11.425,11.626,0.8481,10.856,11.164,10.363,0.9944,0.9693,0.9135,10.912,11.639,11.877,0.9629,11.234,0.8389,0.9358,10.015,0.8395,0.8234,10.184,0.8116,0.4753,0.5193,0.8224,0.6696,0.6066,0.8312,-0.0366,-0.1031,-0.1168,-0.2918,-0.2523,0.0536,-0.1763,-0.2480,-0.0871,-0.2383,-0.0106,-0.0771,0.0444,-0.2518,-0.2564,-0.1268,-0.0297,0.0079,0.2923,0.0583,0.3527,0.4331,0.2366,0.2762,-0.2468,0.2741,0.0367,-0.5197,-0.6738,-0.1743,-0.0321,0.4904,-0.0244,-0.3961,-0.0629,0.3791,-0.0358,0.4641,0.2819,0.2573,0.1646,0.3551,-0.2131,-0.3270,-0.6605,-14.109,-0.9004,-0.6859,-0.0373,0.1242,0.3133,0.2280,0.1724,0.2617,0.4517,11.338,15.104,12.132,0.5050,11.722,-0.5784,-0.6457,-0.7806,-0.8189,-0.5230,-0.6728,-0.1227,-0.6953,-0.2160,-0.4716,-0.1572,-0.4499,-0.7413,0.1002,-10.929,-0.5586,-10.062,-13.186,0.0969,-0.1030,0.0020,-0.3692,0.0669,-0.1389,-0.7135,-10.323,-0.9507,-0.9889,-0.7288,-11.577,-0.7370,-0.5694,-12.919,0.5277,-0.0186,-0.3938,0.4126,0.4059,0.3974,0.0283,0.1912,0.1947,0.1163,-0.4732,-0.1554,-0.5753,-0.6192,-0.2780,0.0396
HTR2A,13.618,12.049,10.365,10.995,14.291,12.187,13.034,11.544,12.015,0.9943,13.644,11.245,10.926,12.239,11.419,11.291,13.121,10.170,10.870,12.706,10.691,11.711,14.974,12.121,11.553,10.198,10.594,11.471,12.798,12.743,12.153,12.923,11.853,12.409,13.368,11.599,10.861,11.305,10.927,12.495,12.370,10.669,13.437,11.849,11.056,12.881,12.023,11.147,10.918,12.223,11.673,13.096,13.159,14.210,10.538,11.350,13.227,12.121,13.264,11.890,10.747,10.724,12.498,11.823,14.925,11.090,11.906,0.9930,11.875,11.906,10.125,10.422,10.484,0.9684,0.8108,0.6006,0.9268,0.8712,0.6679,10.396,0.1871,-0.3699,-0.1861,-0.4534,-0.2210,-0.0568,-0.1217,-0.3518,-0.6684,-0.2759,-0.1659,-0.0820,-0.1586,-0.3140,-0.6006,-0.4350,-0.1569,-0.1422,0.4302,-0.0189,0.1474,0.5863,0.2913,0.3286,-0.0763,0.2754,-13.005,-0.8252,-0.9901,-0.4401,0.0629,0.4983,-0.1243,-0.6481,-0.4458,0.0888,-0.2978,0.6425,0.0959,0.3296,0.1286,0.4091,-0.2221,-0.4319,-0.5506,-13.466,-16.714,-0.7856,0.0018,-0.1522,-0.6903,0.4284,0.3637,0.3855,0.4945,11.580,11.057,10.562,0.2175,11.174,-0.4761,-0.7473,-0.9356,-0.6901,-0.7894,-0.5658,-0.1505,-10.208,-0.0647,-0.4296,-0.2950,-0.3500,-0.7814,0.0955,-12.072,-12.963,-0.8052,-16.286,0.2645,-0.2667,0.2248,-0.3017,0.1038,-0.3187,-0.7269,-13.239,-0.8471,-13.398,-0.7879,-11.585,-0.8048,-0.5168,-10.699,0.0495,-0.1428,-0.4475,0.4646,0.1955,-0.4285,-0.2581,-0.0404,0.1054,0.3389,-11.625,-0.3312,-0.6623,-0.5088,-0.1982,-0.1299
